"offer","brand","description","category","activated_date","expiration_date","url"
"$2.00 OFF","METAMUCIL®","ONE Metamucil® Fiber Thins Product (excludes trial/travel sizes)","Health Care > Digestive Aids > Digestive Aids","2018-07-17T00:01:00-0700","2018-08-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.25","O, THAT’S GOOD!","on any ONE (1) O, THAT’S GOOD! Refrigerated Soup, Side or Frozen Pizza Product","Foods > Refrigerated Foods: Other > Foods: Other","2018-06-20T00:01:00-0700","2018-08-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢ ON ONE","Big G Cereals","when you buy ONE BOX Original Cheerios® cereal (the one in the yellow box)","Foods > Breakfast > Ready to Eat Cereal","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Ball® or Kerr® Jars","on any ONE (1) 12 pack case of Ball® or Kerr® Jars","Household > Paper/Plastic Products > Reusable Utensils","2018-06-10T00:01:00-0700","2018-09-05T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢ ON FIVE","Yoplait®","when you buy FIVE CUPS any variety Yoplait® Yogurt (Includes Original, Light, Light Thick & Creamy, Thick & Creamy, ...","Foods > Dairy > Yogurt","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Friskies®","on twenty four (24) 5.5 oz cans or one (1) 24 Ct VP or two (2) 12 Ct Variety Packs of Friskies® Wet Cat Food, any variety","Pet Care > Cat Food > Canned","2018-07-15T00:01:00-0700","2018-09-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$4.00 OFF","COVERGIRL","TWO COVERGIRL PRODUCTS (Excludes Cheekers, 1-kit shadows, trial/travel size and accessories)","Personal Care > Cosmetics > Eye Shadow","2018-07-03T00:01:00-0700","2018-08-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Milk-Bone®","on any ONE (1) Milk-Bone® Brushing Chews® Daily Dental Treats product","Pet Care > Dog Treats > Dog Treats","2018-07-18T00:01:00-0700","2018-09-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢","Scrubbing Bubbles®","on any ONE (1) Scrubbing Bubbles® Fresh Gel Product","Household > Household Cleaners/ Supplies > Bathroom Cleaner","2018-07-08T00:01:00-0700","2018-10-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢ ON TWO","Chex Mix™, Bugles™, Gardetto's™","when you buy TWO BAGS any 3.7 OZ. OR LARGER Chex Mix™, Chex Mix™ Muddy Buddies™...","Foods > Snacks > Salty Snacks","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
