"Commodity","Price","Chg","perChg","Open","High","Low","Time","POS","NEG"
"CRUDEOIL","4673","71","1.54","4608","4679","4564","23:30:01","1.54","0.02"
"ZINC","176.4","-3.45","-1.92","180.25","180.25","176.2","23:30:01","0.0","-1.92"
"ZINCMINI","176.4","-3.45","-1.92","180.45","180.45","176.2","23:30:01","0.0","-1.92"
"CRUDEOILM","4674","71","1.54","4594","4679","4564","23:30:01","1.54","0.02"
"EURINR","72.9574","-0.8869","-1.2","73.6251","73.7336","72.9196","03:29:59","0.0","-1.2"
"JPYINR","0.5689","-0.0074","-1.28","0.5749","0.5767","0.5683","03:34:59","0.0","-1.28"
"CHANA","4245","101","2.44","4125","4257","4125","17:03:48","2.44","0.03"
"COCUDAKL","1738.5","21.5","1.25","1723.5","1744.5","1720","18:25:16","1.25","0.01"
"COTTON","23690","0","0","0","0","0","17:04:42","1.0","0.0"
"GUARGUM5","9847","378","3.99","9525","9847","9521","16:43:55","3.99","0.03"
"JEERAUNJHA","19340","-375","-1.9","19800","19805","19300","17:02:09","0.0","-1.9"
"KAPAS","1212","16.5","1.38","1197","1216","1196.5","20:59:23","1.38","0.01"
"MAIZEKHRIF","1331","0","0","0","0","0","11:08:17","1.0","0.0"
"RMSEED","4108","49","1.21","4095","4122","4063","17:00:59","1.21","0.01"
"SYBEANIDR","3382","37","1.11","3350","3390","3340","17:07:48","1.11","0.01"
