"business_name","business_page","telephone","street_address","locality","region","postal_code","rank"
"The Four's Restaurant & Sports Bar","https://www.yellowpages.com/boston-ma/mip/the-fours-restaurant-sports-bar-2475158?lid=209428619","(617) 830-1204","166 Canal St","Boston","MA","02114","1"
"No Name Restaurant","https://www.yellowpages.com/boston-ma/mip/no-name-restaurant-8648730?lid=1001715956847","(617) 229-6084","15 Fish Pier St E","Boston","MA","02210","2"
"Aria Trattoria","https://www.yellowpages.com/boston-ma/mip/aria-trattoria-480202715?lid=1000380204864","(617) 580-5141","253 Hanover St","Boston","MA","02113","3"
"The Four's Restaurant & Sports Bar","https://www.yellowpages.com/boston-ma/mip/the-fours-restaurant-sports-bar-460711092?lid=1000273712008","(617) 830-4504","166 Canal St","Boston","MA","02114","4"
"B&G Oysters","https://www.yellowpages.com/boston-ma/mip/b-g-oysters-2650359?lid=2650359","(617) 423-0550","550 Tremont St","Boston","MA","02116","5"
"Morton's The Steakhouse","https://www.yellowpages.com/boston-ma/mip/mortons-the-steakhouse-22589061?lid=22589061","(617) 266-5858","699 Boylston St","Boston","MA","02116","6"
"Abe & Louie's","https://www.yellowpages.com/boston-ma/mip/abe-louies-2198151?lid=2198151","(617) 536-6300","793 Boylston St","Boston","MA","02116","7"
"The Oceanaire Seafood Room","https://www.yellowpages.com/boston-ma/mip/the-oceanaire-seafood-room-455904020?lid=455904020","(617) 742-2277","40 Court St","Boston","MA","02108","8"
"Island Creek Oyster Bar","https://www.yellowpages.com/boston-ma/mip/island-creek-oyster-bar-460080280?lid=460080280","(617) 532-5300","500 Commonwealth Ave","Boston","MA","02215","9"
"Tremont 647","https://www.yellowpages.com/boston-ma/mip/tremont-647-5731916?lid=5731916","(617) 266-4600","647 Tremont St","Boston","MA","02118","10"
"Joe's American Bar & Grill","https://www.yellowpages.com/boston-ma/mip/joes-american-bar-grill-1011023?lid=1011023","(617) 367-8700","100 Atlantic Ave","Boston","MA","02110","11"
"Fire & Ice","https://www.yellowpages.com/boston-ma/mip/fire-ice-7382808?lid=7382808","(617) 482-3473","205 Berkeley St","Boston","MA","02116","12"
"Houlihan's","https://www.yellowpages.com/boston-ma/mip/houlihans-467872658?lid=467872658","(617) 367-6377","60 State St","Boston","MA","02109","13"
"Oceana At The Marriott Long Wharf","https://www.yellowpages.com/boston-ma/mip/oceana-at-the-marriott-long-wharf-471102654?lid=471102654","(617) 227-3838","296 State St","Boston","MA","02109","14"
"Artu On Charles Street","https://www.yellowpages.com/boston-ma/mip/artu-on-charles-street-3849315?lid=3849315","(617) 227-9023","89 Charles St","Boston","MA","02114","15"
"McCormick & Schmick's Seafood & Steaks","https://www.yellowpages.com/boston-ma/mip/mccormick-schmicks-seafood-steaks-467887008?lid=467887008","(617) 720-5522","1 Faneuil Hall Market Pl","Boston","MA","02109","16"
"Flames Restaurant II Inc","https://www.yellowpages.com/boston-ma/mip/flames-restaurant-ii-inc-3289242?lid=3289242","(617) 734-1911","746 Huntington Ave","Boston","MA","02115","17"
"Citizen Public House & Oyster Bar","https://www.yellowpages.com/boston-ma/mip/citizen-public-house-oyster-bar-458900906?lid=458900906","(617) 450-9000","1310 Boylston St","Boston","MA","02215","18"
"The North Star","https://www.yellowpages.com/boston-ma/mip/the-north-star-3217193?lid=3217193","(617) 723-3222","222 Friend St","Boston","MA","02114","19"
"Atlantic Fish Co","https://www.yellowpages.com/boston-ma/mip/atlantic-fish-co-8673013?lid=8673013","(617) 267-4000","761 Boylston St","Boston","MA","02116","20"
"Top of the Hub","https://www.yellowpages.com/boston-ma/mip/top-of-the-hub-465512780?lid=465512780","(617) 536-1775","800 Boylston St Fl 52","Boston","MA","02199","21"
"Terramia Ristorante","https://www.yellowpages.com/boston-ma/mip/terramia-ristorante-13507328?lid=13507328","(617) 523-3112","98 Salem St","Boston","MA","02113","22"
"Neptune Oyster","https://www.yellowpages.com/boston-ma/mip/neptune-oyster-3678122?lid=3678122","(617) 742-3474","63 Salem St Apt 1","Boston","MA","02113","23"
"Troquet","https://www.yellowpages.com/boston-ma/mip/troquet-22611122?lid=22611122","(617) 695-9463","140 Boylston St","Boston","MA","02116","24"
"Harvard Gardens","https://www.yellowpages.com/boston-ma/mip/harvard-gardens-22868738?lid=1001876479751","(617) 765-0605","316 Cambridge St","Boston","MA","02114","25"
"21st Amendment","https://www.yellowpages.com/boston-ma/mip/21st-amendment-3466595?lid=3466595","(617) 227-7100","150 Bowdoin St","Boston","MA","02108","26"
"Woody's Grill & Tap","https://www.yellowpages.com/boston-ma/mip/woodys-grill-tap-671276?lid=671276","(617) 375-9663","58 Hemenway St","Boston","MA","02115","27"
"Blackjack Pasta Bar","https://www.yellowpages.com/boston-ma/mip/blackjack-pasta-bar-7016994?lid=7016994","(617) 266-1313","52 Queensberry St","Boston","MA","02215","28"
"Boston Chowda Co","https://www.yellowpages.com/boston-ma/mip/boston-chowda-co-4099713?lid=4099713","(617) 742-7279","1 Faneuil Hall Market Pl","Boston","MA","02109","29"
"The Daily Catch","https://www.yellowpages.com/boston-ma/mip/the-daily-catch-10766579?lid=10766579","(617) 523-8567","323 Hanover St","Boston","MA","02113","30"
"Anthony's Cafe On Waterfront","https://www.yellowpages.com/boston-ma/mip/anthonys-cafe-on-waterfront-13440808?lid=13440808","(617) 742-2987","252 Commercial St","Boston","MA","02109","31"
"Slate Bar & Grill","https://www.yellowpages.com/boston-ma/mip/slate-bar-grill-469828926?lid=469828926","(857) 263-7372","109 High St","Boston","MA","02110","32"
"Toscano Restaurant","https://www.yellowpages.com/boston-ma/mip/toscano-restaurant-19776374?lid=19776374","(617) 723-4090","47 Charles St","Boston","MA","02114","33"
"The Salty Pig","https://www.yellowpages.com/boston-ma/mip/the-salty-pig-7520061?lid=7520061","(617) 536-6200","130 Dartmouth St","Boston","MA","02116","34"
"Prezza","https://www.yellowpages.com/boston-ma/mip/prezza-3573600?lid=3573600","(617) 227-1577","24 Fleet St","Boston","MA","02113","35"
"Tantric India Bistro","https://www.yellowpages.com/boston-ma/mip/tantric-india-bistro-467152615?lid=467152615","(617) 367-8742","123 Stuart St","Boston","MA","02116","36"
